Nro de clientes,Hora de llegada,Tiempo entre clientes,Consume en local / Take away
1,10:03:00,-,TA
2,10:05:00,0:02:00,TA
3,10:05:00,0:00:00,TA
4,10:08:00,0:03:00,Consume
5,10:14:00,0:06:00,Consume
6,10:15:00,0:01:00,TA
7,10:19:00,0:04:00,TA
8,10:19:00,0:00:00,Consume
9,10:25:00,0:06:00,Consume
10,10:26:00,0:01:00,TA
11,10:26:00,0:00:00,Consume
12,10:31:00,0:05:00,Consume
13,10:31:00,0:00:00,Consume
14,10:32:00,0:01:00,TA
15,10:37:00,0:05:00,Consume
16,10:43:00,0:06:00,TA
17,10:43:00,0:00:00,Consume
18,10:44:00,0:01:00,Consume
19,10:45:00,0:01:00,TA
20,10:45:00,0:00:00,TA
21,10:45:00,0:00:00,TA
22,10:46:00,0:01:00,TA
23,10:50:00,0:04:00,TA
24,10:59:00,0:09:00,TA